workerid,proliferate.condition,content,contentNr,fact,fact_type,probe_text,question,response,rt,slide_number_in_experiment,speakerGender,speakerName,subjectGender,subjectName,trigger_class,utterance,verb,catch_trials,subject_information.age,subject_information.american,subject_information.assess,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
26,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,NA,control2,0,9182,4,F,Helen,NA,NA,control,Is Mary's aunt sick?,control,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Grace used pens or markers,9,Grace hates her sister,factL,but not both,9,0,27290,5,M,James,M,Alexander,NonProj,Did Andrew reveal that Grace used pens or markers?,reveal,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,1,14253,6,F,Donna,F,Diane,C,Did Melissa acknowledge that Josh bought coffee or tea?,acknowledge,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,but not all of them,4,1,7191,7,F,Lisa,F,Christina,C,Did Jerry hear that Danny solved some of the puzzles?,hear,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,NA,control1,0,6327,8,M,James,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Emily failed math or science,8,Emily never has any money,factL,but not both,8,0,8799,9,F,Jessica,M,Larry,C,Did Brian suggest that Emily failed math or science?,suggest,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,but not all of them,1,1,11094,10,F,Jennifer,M,Kevin,NonProj,Does Patrick know that Mary ate some of the cupcakes?,know,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,and possibly both,10,1,14494,11,F,Karen,F,Janet,NonProj,Did Tim establish that Jayden solved the puzzles or problems?,establish,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.98,55656,12,F,Helen,F,Stephanie,C,Did Ray inform Sam that Jackson completed some of the assignments?,inform_Sam,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,and possibly all of them,2,0,16350,13,M,Richard,M,Raymond,C,Did Scott prove that Josie failed some of the courses?,prove,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,NA,control4,0,4167,14,M,David,NA,NA,control,Is Vanessa good at math?,control,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0,9520,15,M,Robert,F,Ruth,C,Did Ben confirm that Frank answered some of the questions?,confirm,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,1,11292,16,F,Elizabeth,M,Ryan,C,Did Kevin say that Isabella ate cake or pie?,say,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,NA,control3,0,4535,17,F,Karen,NA,NA,control,Did Todd play football in high school?,control,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,NA,control6,0,3876,18,M,Richard,NA,NA,control,Was Hendrick's car expensive?,control,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Madison had a baby,control5,Trish sent Madison a card,NA,NA,control5,0,5002,19,F,Jessica,NA,NA,control,Did Madison have a baby?,control,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Emma used some of the office supplies,3,Emma is in first grade,factL,but not all of them,3,1,5732,20,M,David,M,Timothy,NonProj,Did Justin discover that Emma used some of the office supplies?,discover,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Tony answered emails or calls,11,Danny loves cake,factH,but not both,11,0,8985,21,F,Carol,F,Joyce,NonProj,Does Amanda think that Tony answered emails or calls?,think,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
24,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,and possibly all of them,2,0.49,16949,4,F,Donna,M,Kevin,C,Did Scott prove that Josie failed some of the courses?,prove,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Madison had a baby,control5,Trish sent Madison a card,NA,NA,control5,0.28,6043,5,M,Mark,NA,NA,control,Did Madison have a baby?,control,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,but not all of them,1,0.87,7763,6,F,Sandra,M,Eric,NonProj,Did Patrick discover that Mary ate some of the cupcakes?,discover,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,and possibly both,10,0.82,5732,7,M,Paul,F,Carolyn,C,Did Tim hear that Jayden solved the puzzles or problems?,hear,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,0.93,6123,8,M,Christopher,F,Stephanie,C,Did Melissa acknowledge that Josh bought coffee or tea?,acknowledge,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Grace used pens or markers,9,Grace loves her sister,factH,but not both,9,0.49,7495,9,F,Michelle,M,Nicholas,C,Did Andrew suggest that Grace used pens or markers?,suggest,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,NA,control2,0.49,4212,10,F,Sandra,NA,NA,control,Is Mary's aunt sick?,control,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,NA,control4,0.5,3183,11,M,Paul,NA,NA,control,Is Vanessa good at math?,control,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Emily failed math or science,8,Emily never has any money,factL,but not both,8,0.19,9712,12,M,Thomas,M,Ronald,NonProj,Does Brian think that Emily failed math or science?,think,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,but not both,7,0.64,5803,13,M,James,M,Alexander,NonProj,Does Kevin know that Isabella ate cake or pie?,know,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,but not all of them,4,0.53,4778,14,M,Mark,F,Sharon,C,Did Jerry confirm that Danny solved some of the puzzles?,confirm,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,NA,control3,0.49,4587,15,M,Richard,NA,NA,control,Did Todd play football in high school?,control,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.5,4894,16,M,Kenneth,M,Larry,NonProj,Did Justin establish that Emma used some of the office supplies?,establish,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,NA,control6,0.51,5685,17,M,Thomas,NA,NA,control,Was Hendrick's car expensive?,control,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Tony answered emails or calls,11,Danny is a diabetic,factL,and possibly both,11,0.81,4786,18,M,Richard,F,Amanda,C,Did Amanda inform Sam that Tony answered emails or calls?,inform_Sam,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,NA,control1,0.5,3100,19,F,Donna,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Jackson completed some of the assignments,6,Mia is a college student,factH,and possibly all of them,6,0.32,4957,20,M,David,F,Rebecca,C,Did Ray say that Jackson completed some of the assignments?,say,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
24,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.81,3797,21,F,Susan,F,Diane,NonProj,Did Ben reveal that Frank answered some of the questions?,reveal,[],40,y,Yes,NA,Hold a higher degree,Yes,f,English,No,Chrome,Windows,1080,1920,2.480683333333334,NA
27,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,and possibly both,10,0.5,27663,4,M,Steven,F,Angela,NonProj,Did Tim reveal that Jayden solved the puzzles or problems?,reveal,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Emma used some of the office supplies,3,Emma is in first grade,factL,and possibly all of them,3,0.48,21080,5,M,Matthew,M,Jeffrey,C,Did Justin confirm that Emma used some of the office supplies?,confirm,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0,18918,6,M,Paul,F,Catherine,NonProj,Does Ben know that Frank answered some of the questions?,know,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Madison had a baby,control5,Trish sent Madison a card,NA,NA,control5,0,8348,7,F,Kimberly,NA,NA,control,Did Madison have a baby?,control,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,NA,control6,0,8002,8,M,Robert,NA,NA,control,Was Hendrick's car expensive?,control,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,NA,control1,0,6284,9,M,Matthew,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0,7736,10,F,Carol,M,Alexander,C,Did Andrew say that Grace used pens or markers?,say,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,NA,control2,0,10074,11,F,Betty,NA,NA,control,Is Mary's aunt sick?,control,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,NA,control3,0,7688,12,F,Susan,NA,NA,control,Did Todd play football in high school?,control,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,NA,control4,0,5486,13,F,Jessica,NA,NA,control,Is Vanessa good at math?,control,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Josie failed some of the courses,2,Josie loves France,factH,but not all of them,2,0.78,22472,14,F,Helen,M,Timothy,C,Did Scott inform Sam that Josie failed some of the courses?,inform_Sam,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0.48,103675,15,F,Betty,F,Brenda,NonProj,Did Melissa discover that Josh bought coffee or tea?,discover,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,but not all of them,4,0.47,7281,16,M,Robert,F,Nicole,C,Did Jerry suggest that Danny solved some of the puzzles?,suggest,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.48,10237,17,F,Susan,F,Carolyn,C,Did Ray acknowledge that Jackson completed some of the assignments?,acknowledge,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Emily failed math or science,8,Emily never has any money,factL,but not both,8,0.42,10127,18,F,Jessica,M,Scott,NonProj,Did Brian establish that Emily failed math or science?,establish,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,0.46,12545,19,F,Lisa,M,Benjamin,NonProj,Does Kevin think that Isabella ate cake or pie?,think,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Tony answered emails or calls,11,Danny is a diabetic,factL,but not both,11,0.29,9093,20,F,Kimberly,F,Virginia,C,Did Amanda prove that Tony answered emails or calls?,prove,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
27,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,but not all of them,1,0.35,10449,21,F,Dorothy,M,Brandon,C,Did Patrick hear that Mary ate some of the cupcakes?,hear,[],53,y,Yes,NA,Graduated College,It was fine,f,English,no,Chrome,Windows,1080,1920,7.20535,NA
30,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0.31,8293,4,M,Matthew,F,Laura,NonProj,Does Melissa know that Josh bought coffee or tea?,know,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,but not both,10,0.38,6464,5,F,Ashley,F,Anna,NonProj,Did Tim reveal that Jayden solved the puzzles or problems?,reveal,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,but not both,7,0.37,7290,6,M,Mark,M,Timothy,C,Did Kevin hear that Isabella ate cake or pie?,hear,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.26,5107,7,F,Donna,M,Edward,C,Did Brian suggest that Emily failed math or science?,suggest,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,NA,control4,0.27,3531,8,F,Ashley,NA,NA,control,Is Vanessa good at math?,control,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Josie failed some of the courses,2,Josie loves France,factH,and possibly all of them,2,0.67,4473,9,M,Paul,M,Alexander,C,Did Scott inform Sam that Josie failed some of the courses?,inform_Sam,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,NA,control3,0.14,3549,10,F,Donna,NA,NA,control,Did Todd play football in high school?,control,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,NA,control6,0.18,3403,11,M,David,NA,NA,control,Was Hendrick's car expensive?,control,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,NA,control2,0.09,2936,12,M,Kenneth,NA,NA,control,Is Mary's aunt sick?,control,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,NA,control1,0.12,2856,13,M,Matthew,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Madison had a baby,control5,Trish sent Madison a card,NA,NA,control5,0.18,2226,14,F,Sarah,NA,NA,control,Did Madison have a baby?,control,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Emma used some of the office supplies,3,Emma is in first grade,factL,and possibly all of them,3,0.73,3407,15,F,Sarah,M,Patrick,NonProj,Did Justin establish that Emma used some of the office supplies?,establish,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,but not all of them,1,0.47,4355,16,F,Elizabeth,M,Jacob,C,Did Patrick say that Mary ate some of the cupcakes?,say,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Jackson completed some of the assignments,6,Mia is a college student,factH,but not all of them,6,0.73,2901,17,F,Betty,F,Rachel,NonProj,Did Ray discover that Jackson completed some of the assignments?,discover,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,but not all of them,4,0.19,3682,18,M,Kenneth,F,Stephanie,NonProj,Does Jerry think that Danny solved some of the puzzles?,think,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Tony answered emails or calls,11,Danny is a diabetic,factL,and possibly both,11,0.47,3057,19,M,David,F,Joyce,C,Did Amanda confirm that Tony answered emails or calls?,confirm,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0.69,2709,20,F,Karen,M,Brian,C,Did Andrew acknowledge that Grace used pens or markers?,acknowledge,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
30,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0.27,6419,21,M,George,F,Virginia,C,Did Ben prove that Frank answered some of the questions?,prove,[],38,y,Yes,NA,Graduated College,Yes,m,english,NA,Chrome,Windows,768,1366,2.0050166666666667,NA
21,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0.07,10988,4,M,Robert,M,Edward,NonProj,Did Andrew establish that Grace used pens or markers?,establish,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0,4776,5,M,Paul,F,Kathleen,NonProj,Does Melissa know that Josh bought coffee or tea?,know,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,but not both,7,0.33,6765,6,M,Matthew,M,Alexander,C,Did Kevin suggest that Isabella ate cake or pie?,suggest,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Josie failed some of the courses,2,Josie loves France,factH,but not all of them,2,0.32,4712,7,F,Sandra,M,Tyler,NonProj,Did Scott reveal that Josie failed some of the courses?,reveal,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,and possibly all of them,4,0.71,9224,8,M,Steven,F,Rachel,C,Did Jerry inform Sam that Danny solved some of the puzzles?,inform_Sam,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.39,6278,9,F,Betty,F,Melissa,C,Did Ben say that Frank answered some of the questions?,say,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,but not both,10,0.29,6006,10,F,Susan,F,Carolyn,C,Did Tim prove that Jayden solved the puzzles or problems?,prove,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,NA,control4,0.29,4014,11,M,Paul,NA,NA,control,Is Vanessa good at math?,control,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,NA,control1,0.17,3201,12,M,Matthew,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.8,5047,13,F,Jessica,M,Timothy,NonProj,Did Justin discover that Emma used some of the office supplies?,discover,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Jackson completed some of the assignments,6,Mia is a nun,factL,but not all of them,6,0.32,4283,14,F,Michelle,F,Amanda,C,Did Ray confirm that Jackson completed some of the assignments?,confirm,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Tony answered emails or calls,11,Danny is a diabetic,factL,and possibly both,11,0.85,3097,15,F,Kimberly,F,Brenda,C,Did Amanda hear that Tony answered emails or calls?,hear,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.22,4149,16,M,David,M,Ryan,NonProj,Does Brian think that Emily failed math or science?,think,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,and possibly all of them,1,0.71,3021,17,F,Sarah,M,Ronald,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,acknowledge,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,NA,control3,0.2,3832,18,F,Sarah,NA,NA,control,Did Todd play football in high school?,control,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Madison had a baby,control5,Trish sent Madison a card,NA,NA,control5,0.29,2356,19,F,Michelle,NA,NA,control,Did Madison have a baby?,control,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
21,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,NA,control6,0.22,2422,20,F,Kimberly,NA,NA,control,Was Hendrick's car expensive?,control,[],24,y,Yes,NA,Graduated College,Yes,f,English,No,Chrome,Windows,1080,1920,3.4995,NA
