workerid,proliferate.condition,content,contentNr,fact,fact_type,probe_text,question,response,rt,slide_number_in_experiment,speakerGender,speakerName,subjectGender,subjectName,trigger_class,utterance,verb,error
30,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0.27,6419,21,M,George,F,Virginia,C,Did Ben prove that Frank answered some of the questions?,prove,
8,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,but not all of them,4,0.14,1682,3,M,William,F,Amanda,NonProj,Did Jerry establish that Danny solved some of the puzzles?,establish,
8,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,and possibly all of them,2,0.95,1083,4,F,Ashley,M,Jacob,NonProj,Did Scott discover that Josie failed some of the courses?,discover,
8,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,0.05,1283,5,F,Betty,F,Julie,C,Did Melissa acknowledge that Josh bought coffee or tea?,acknowledge,
8,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.51,883,6,F,Karen,F,Stephanie,C,Did Ben inform Sam that Frank answered some of the questions?,inform_Sam,
8,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.52,1367,7,F,Jennifer,NA,NA,control,Is Mary's aunt sick?,control,
8,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,but not both,10,0.41,1434,8,M,Matthew,F,Catherine,NonProj,Did Tim reveal that Jayden solved the puzzles or problems?,reveal,
8,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.88,1382,9,M,David,NA,NA,control,Did Todd play football in high school?,control,
8,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.2,1033,10,F,Helen,NA,NA,control,Did Madison have a baby?,control,
8,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,and possibly both,7,0.69,916,11,F,Jennifer,M,Scott,C,Did Kevin say that Isabella ate cake or pie?,say,
8,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.37,916,12,F,Sarah,NA,NA,control,Is Vanessa good at math?,control,
8,main,Tony answered emails or calls,11,Danny is a diabetic,factL,but not both,11,0.58,884,13,M,David,F,Rebecca,NonProj,Does Amanda know that Tony answered emails or calls?,know,
8,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.43,799,14,M,James,M,Raymond,NonProj,Does Brian think that Emily failed math or science?,think,
8,main,Grace used pens or markers,9,Grace loves her sister,factH,but not both,9,0.66,850,15,F,Margaret,M,Ryan,C,Did Andrew confirm that Grace used pens or markers?,confirm,
8,main,Emma used some of the office supplies,3,Emma is in first grade,factL,and possibly all of them,3,0.37,1184,16,F,Sarah,M,Benjamin,C,Did Justin prove that Emma used some of the office supplies?,prove,
8,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.49,816,17,F,Ashley,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
8,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.56,884,18,M,James,NA,NA,control,Was Hendrick's car expensive?,control,
8,main,Jackson completed some of the assignments,6,Mia is a nun,factL,but not all of them,6,0.73,1017,19,F,Helen,F,Cynthia,C,Did Ray suggest that Jackson completed some of the assignments?,suggest,
8,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,and possibly all of them,1,0.44,1499,20,M,Kenneth,M,Eric,C,Did Patrick hear that Mary ate some of the cupcakes?,hear,
21,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0.07,10988,4,M,Robert,M,Edward,NonProj,Did Andrew establish that Grace used pens or markers?,establish,
21,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0,4776,5,M,Paul,F,Kathleen,NonProj,Does Melissa know that Josh bought coffee or tea?,know,
21,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,but not both,7,0.33,6765,6,M,Matthew,M,Alexander,C,Did Kevin suggest that Isabella ate cake or pie?,suggest,
21,main,Josie failed some of the courses,2,Josie loves France,factH,but not all of them,2,0.32,4712,7,F,Sandra,M,Tyler,NonProj,Did Scott reveal that Josie failed some of the courses?,reveal,
21,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,and possibly all of them,4,0.71,9224,8,M,Steven,F,Rachel,C,Did Jerry inform Sam that Danny solved some of the puzzles?,inform_Sam,
21,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.39,6278,9,F,Betty,F,Melissa,C,Did Ben say that Frank answered some of the questions?,say,
21,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,but not both,10,0.29,6006,10,F,Susan,F,Carolyn,C,Did Tim prove that Jayden solved the puzzles or problems?,prove,
21,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.29,4014,11,M,Paul,NA,NA,control,Is Vanessa good at math?,control,
21,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.17,3201,12,M,Matthew,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
21,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.8,5047,13,F,Jessica,M,Timothy,NonProj,Did Justin discover that Emma used some of the office supplies?,discover,
21,main,Jackson completed some of the assignments,6,Mia is a nun,factL,but not all of them,6,0.32,4283,14,F,Michelle,F,Amanda,C,Did Ray confirm that Jackson completed some of the assignments?,confirm,
21,main,Tony answered emails or calls,11,Danny is a diabetic,factL,and possibly both,11,0.85,3097,15,F,Kimberly,F,Brenda,C,Did Amanda hear that Tony answered emails or calls?,hear,
21,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.22,4149,16,M,David,M,Ryan,NonProj,Does Brian think that Emily failed math or science?,think,
21,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,and possibly all of them,1,0.71,3021,17,F,Sarah,M,Ronald,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,acknowledge,
21,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.2,3832,18,F,Sarah,NA,NA,control,Did Todd play football in high school?,control,
21,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.29,2356,19,F,Michelle,NA,NA,control,Did Madison have a baby?,control,
21,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.22,2422,20,F,Kimberly,NA,NA,control,Was Hendrick's car expensive?,control,
21,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.26,69946,21,M,David,NA,NA,control,Is Mary's aunt sick?,control,
28,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.08,11640,4,F,Carol,NA,NA,control,Is Mary's aunt sick?,control,
28,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,but not both,7,0.22,24592,5,F,Sandra,M,Andrew,NonProj,Did Kevin discover that Isabella ate cake or pie?,discover,
28,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,and possibly all of them,4,0.25,20493,6,F,Margaret,F,Anna,NonProj,Does Jerry think that Danny solved some of the puzzles?,think,
28,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.04,7341,7,F,Linda,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
28,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.24,7292,8,F,Margaret,NA,NA,control,Did Madison have a baby?,control,
28,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.38,10273,9,F,Elizabeth,NA,NA,control,Was Hendrick's car expensive?,control,
28,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,but not both,10,0.79,19756,10,M,Robert,F,Joyce,NonProj,Does Tim know that Jayden solved the puzzles or problems?,know,
28,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.24,42580,11,F,Carol,M,Benjamin,C,Did Brian prove that Emily failed math or science?,prove,
28,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,and possibly both,12,0.71,12192,12,F,Elizabeth,F,Melissa,C,Did Melissa say that Josh bought coffee or tea?,say,
28,main,Tony answered emails or calls,11,Danny loves cake,factH,but not both,11,0.27,11048,13,M,Thomas,F,Stephanie,NonProj,Did Amanda establish that Tony answered emails or calls?,establish,
28,main,Josie failed some of the courses,2,Josie loves France,factH,but not all of them,2,0.79,47044,14,F,Sarah,M,Raymond,C,Did Scott hear that Josie failed some of the courses?,hear,
28,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.27,8675,15,F,Sandra,NA,NA,control,Is Vanessa good at math?,control,
28,main,Jackson completed some of the assignments,6,Mia is a college student,factH,but not all of them,6,0.92,8576,16,F,Betty,F,Heather,C,Did Ray inform Sam that Jackson completed some of the assignments?,inform_Sam,
28,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,and possibly all of them,1,0.95,8449,17,F,Linda,M,Gregory,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,acknowledge,
28,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.86,10311,18,M,Richard,M,Nicholas,C,Did Justin confirm that Emma used some of the office supplies?,confirm,
28,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.25,21405,19,F,Donna,F,Amanda,C,Did Ben suggest that Frank answered some of the questions?,suggest,
28,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.06,5794,20,M,Robert,NA,NA,control,Did Todd play football in high school?,control,
28,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0.85,8058,21,F,Jennifer,M,Jeffrey,NonProj,Did Andrew reveal that Grace used pens or markers?,reveal,
23,main,Emma used some of the office supplies,3,Emma is in first grade,factL,but not all of them,3,0.64,4074,4,M,Steven,M,Patrick,NonProj,Did Justin discover that Emma used some of the office supplies?,discover,
23,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.81,5315,5,F,Karen,NA,NA,control,Is Vanessa good at math?,control,
23,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,and possibly both,7,0.52,3985,6,F,Susan,M,Ryan,NonProj,Did Kevin establish that Isabella ate cake or pie?,establish,
23,main,Grace used pens or markers,9,Grace loves her sister,factH,but not both,9,0.44,144140,7,M,Kenneth,M,Andrew,C,Did Andrew hear that Grace used pens or markers?,hear,
23,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.64,1945,8,F,Sandra,F,Rachel,NonProj,Does Ray think that Jackson completed some of the assignments?,think,
23,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.8,2911,9,F,Jessica,NA,NA,control,Did Madison have a baby?,control,
23,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.65,1878,10,F,Sandra,NA,NA,control,Did Todd play football in high school?,control,
23,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0.62,1781,11,F,Karen,F,Amanda,C,Did Melissa suggest that Josh bought coffee or tea?,suggest,
23,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.69,3052,12,F,Susan,NA,NA,control,Was Hendrick's car expensive?,control,
23,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,and possibly all of them,1,0.48,7920,13,M,Matthew,M,Tyler,NonProj,Did Patrick reveal that Mary ate some of the cupcakes?,reveal,
23,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.39,14815,14,F,Donna,F,Carolyn,C,Did Ben inform Sam that Frank answered some of the questions?,inform_Sam,
23,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.6,1823,15,M,Steven,NA,NA,control,Is Mary's aunt sick?,control,
23,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,and possibly both,10,0.63,2261,16,F,Betty,F,Stephanie,C,Did Tim confirm that Jayden solved the puzzles or problems?,confirm,
23,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,but not all of them,4,0.51,1650,17,F,Ashley,F,Janet,C,Did Jerry prove that Danny solved some of the puzzles?,prove,
23,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.73,1727,18,M,Matthew,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
23,main,Tony answered emails or calls,11,Danny is a diabetic,factL,but not both,11,0.5,4143,19,F,Jessica,F,Rebecca,NonProj,Does Amanda know that Tony answered emails or calls?,know,
23,main,Emily failed math or science,8,Emily has been saving for a year,factH,and possibly both,8,0.62,2922,20,M,Richard,M,Nicholas,C,Did Brian acknowledge that Emily failed math or science?,acknowledge,
23,main,Josie failed some of the courses,2,Josie loves France,factH,and possibly all of them,2,0.78,2988,21,F,Margaret,M,Jacob,C,Did Scott say that Josie failed some of the courses?,say,
25,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,and possibly all of them,4,0.76,38634,4,F,Elizabeth,F,Rebecca,C,Did Jerry inform Sam that Danny solved some of the puzzles?,inform_Sam,
25,main,Emma used some of the office supplies,3,Emma is in law school,factH,but not all of them,3,0.46,7876,5,F,Donna,M,Benjamin,C,Did Justin suggest that Emma used some of the office supplies?,suggest,
25,main,Grace used pens or markers,9,Grace hates her sister,factL,but not both,9,0.72,11468,6,M,William,M,Brandon,NonProj,Does Andrew think that Grace used pens or markers?,think,
25,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.73,11561,7,M,Matthew,F,Laura,NonProj,Did Ben establish that Frank answered some of the questions?,establish,
25,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.23,4079,8,F,Betty,NA,NA,control,Was Hendrick's car expensive?,control,
25,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.15,5230,9,F,Kimberly,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
25,main,Emily failed math or science,8,Emily never has any money,factL,but not both,8,0.44,9562,10,F,Kimberly,M,Larry,C,Did Brian confirm that Emily failed math or science?,confirm,
25,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,0.35,12970,11,F,Sarah,F,Joyce,C,Did Melissa prove that Josh bought coffee or tea?,prove,
25,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.66,17146,12,M,Richard,F,Amanda,NonProj,Does Ray know that Jackson completed some of the assignments?,know,
25,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.04,4088,13,M,William,NA,NA,control,Is Vanessa good at math?,control,
25,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.15,3676,14,M,George,NA,NA,control,Did Todd play football in high school?,control,
25,main,Josie failed some of the courses,2,Josie loves France,factH,and possibly all of them,2,0.49,9180,15,F,Dorothy,M,Andrew,C,Did Scott say that Josie failed some of the courses?,say,
25,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.24,5113,16,F,Margaret,NA,NA,control,Did Madison have a baby?,control,
25,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,but not all of them,1,0.71,7263,17,F,Margaret,M,Eric,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,acknowledge,
25,main,Tony answered emails or calls,11,Danny is a diabetic,factL,but not both,11,0.76,6909,18,M,George,F,Angela,C,Did Amanda hear that Tony answered emails or calls?,hear,
25,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.17,6329,19,M,Richard,NA,NA,control,Is Mary's aunt sick?,control,
25,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,and possibly both,10,0.8,6407,20,F,Betty,F,Christina,NonProj,Did Tim discover that Jayden solved the puzzles or problems?,discover,
25,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,0.78,8020,21,F,Jessica,M,Brian,NonProj,Did Kevin reveal that Isabella ate cake or pie?,reveal,
29,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0.19,9857,4,F,Sarah,F,Amy,NonProj,Does Ben know that Frank answered some of the questions?,know,
29,main,Jackson completed some of the assignments,6,Mia is a college student,factH,but not all of them,6,0.88,9975,5,F,Kimberly,F,Ruth,NonProj,Did Ray reveal that Jackson completed some of the assignments?,reveal,
29,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.08,5381,6,F,Michelle,NA,NA,control,Did Madison have a baby?,control,
29,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.34,4369,7,M,David,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
29,main,Tony answered emails or calls,11,Danny loves cake,factH,and possibly both,11,0.1,6223,8,M,Richard,F,Laura,C,Did Amanda say that Tony answered emails or calls?,say,
29,main,Grace used pens or markers,9,Grace hates her sister,factL,but not both,9,0.73,8343,9,M,Paul,M,Scott,NonProj,Did Andrew establish that Grace used pens or markers?,establish,
29,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,but not all of them,2,0.92,5618,10,M,Thomas,M,Jerry,C,Did Scott hear that Josie failed some of the courses?,hear,
29,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,and possibly all of them,4,0.39,7674,11,M,Steven,F,Rachel,C,Did Jerry confirm that Danny solved some of the puzzles?,confirm,
29,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.08,4485,12,M,Christopher,NA,NA,control,Is Vanessa good at math?,control,
29,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.07,6966,13,M,Steven,NA,NA,control,Did Todd play football in high school?,control,
29,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.17,3897,14,M,Paul,NA,NA,control,Is Mary's aunt sick?,control,
29,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,and possibly both,10,0.56,9317,15,M,David,F,Amanda,NonProj,Did Tim discover that Jayden solved the puzzles or problems?,discover,
29,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,and possibly all of them,1,0.79,9250,16,F,Dorothy,M,Andrew,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,acknowledge,
29,main,Emma used some of the office supplies,3,Emma is in first grade,factL,but not all of them,3,0.28,6017,17,M,Christopher,M,Justin,C,Did Justin suggest that Emma used some of the office supplies?,suggest,
29,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.09,4252,18,M,Thomas,NA,NA,control,Was Hendrick's car expensive?,control,
29,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,but not both,7,0.33,6850,19,F,Michelle,M,Alexander,C,Did Kevin prove that Isabella ate cake or pie?,prove,
29,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,but not both,12,0.24,7399,20,F,Karen,F,Diane,NonProj,Does Melissa think that Josh bought coffee or tea?,think,
29,main,Emily failed math or science,8,Emily has been saving for a year,factH,and possibly both,8,0.85,6359,21,F,Ashley,M,Eric,C,Did Brian inform Sam that Emily failed math or science?,inform_Sam,
22,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.05,7216,4,F,Betty,NA,NA,control,Was Hendrick's car expensive?,control,
22,main,Emma used some of the office supplies,3,Emma is in law school,factH,but not all of them,3,0.64,10149,5,F,Sarah,M,Tyler,C,Did Justin inform Sam that Emma used some of the office supplies?,inform_Sam,
22,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.03,6650,6,F,Nancy,NA,NA,control,Is Mary's aunt sick?,control,
22,main,Emily failed math or science,8,Emily never has any money,factL,but not both,8,0.67,6067,7,F,Michelle,M,Scott,NonProj,Does Brian know that Emily failed math or science?,know,
22,main,Frank answered some of the questions,5,Sophia is a high end fashion model,factL,and possibly all of them,5,0.38,5433,8,F,Nancy,F,Amanda,C,Did Ben confirm that Frank answered some of the questions?,confirm,
22,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.01,4833,9,M,Kenneth,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
22,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.01,4483,10,F,Michelle,NA,NA,control,Did Todd play football in high school?,control,
22,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,0.13,5867,11,M,Paul,F,Janet,C,Did Melissa say that Josh bought coffee or tea?,say,
22,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.04,4633,12,F,Sandra,NA,NA,control,Is Vanessa good at math?,control,
22,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,0.05,6883,13,F,Helen,M,Nicholas,C,Did Kevin suggest that Isabella ate cake or pie?,suggest,
22,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,and possibly all of them,1,0.67,5001,14,M,Christopher,M,Jacob,NonProj,Did Patrick reveal that Mary ate some of the cupcakes?,reveal,
22,main,Tony answered emails or calls,11,Danny loves cake,factH,and possibly both,11,0.11,5216,15,M,Thomas,F,Cynthia,C,Did Amanda prove that Tony answered emails or calls?,prove,
22,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,and possibly all of them,2,0.55,5383,16,F,Betty,M,Timothy,C,Did Scott acknowledge that Josie failed some of the courses?,acknowledge,
22,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,but not all of them,4,0.22,6033,17,F,Susan,F,Catherine,NonProj,Does Jerry think that Danny solved some of the puzzles?,think,
22,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.06,4767,18,F,Susan,NA,NA,control,Did Madison have a baby?,control,
22,main,Jackson completed some of the assignments,6,Mia is a college student,factH,but not all of them,6,0.11,3884,19,F,Kimberly,F,Virginia,C,Did Ray hear that Jackson completed some of the assignments?,hear,
22,main,Grace used pens or markers,9,Grace hates her sister,factL,but not both,9,0.06,8333,20,M,Kenneth,M,Alexander,NonProj,Did Andrew discover that Grace used pens or markers?,discover,
22,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,but not both,10,0.34,10766,21,F,Sandra,F,Laura,NonProj,Did Tim establish that Jayden solved the puzzles or problems?,establish,
